time,stage_id,enable,load_force_N_profile,x_ref_m_profile,x_m,valve_cmd,spool_u,pA_Pa,pB_Pa
1.28,stage1,True,0.0,0.05,3.662823981090168e+31,-1.0,-0.5000000000000002,21000000.0,100000.0
1.29,stage1,True,0.0,0.05,-6.692504901134447e+31,1.0,-0.25,100000.0,21000000.0
1.3,stage1,True,0.0,0.05,1.222816659575813e+32,-1.0,-0.5000000000000002,21000000.0,100000.0
1.31,stage1,True,0.0,0.05,-2.2342614686508256e+32,1.0,-0.25,100000.0,21000000.0
1.32,stage1,True,0.0,0.05,4.082316241937206e+32,-1.0,-0.5000000000000002,21000000.0,100000.0
1.33,stage1,True,0.0,0.05,-7.458977444232515e+32,1.0,-0.25,100000.0,21000000.0
1.34,stage1,True,0.0,0.05,1.3628621894115678e+33,-1.0,-0.5000000000000002,21000000.0,100000.0
1.35,stage1,True,0.0,0.05,-2.4901447433171667e+33,1.0,-0.25,100000.0,21000000.0
1.36,stage1,True,0.0,0.05,4.5498516950913416e+33,-1.0,-0.5000000000000002,21000000.0,100000.0
1.37,stage1,True,0.0,0.05,-8.313231792200635e+33,1.0,-0.25,100000.0,21000000.0
1.38,stage1,True,0.0,0.05,1.518946714360146e+34,-1.0,-0.49999999999999467,21000000.0,100000.0
1.39,stage1,True,0.0,0.05,-2.7753335630919675e+34,1.0,-0.24999999999999445,100000.0,21000000.0
1.4,stage1,True,0.0,0.05,5.070932583483744e+34,-1.0,-0.49999999999999467,21000000.0,100000.0
1.41,stage1,True,0.0,0.05,-9.265321332254307e+34,1.0,-0.24999999999999445,100000.0,21000000.0
1.42,stage1,True,0.0,0.05,1.6929071324973122e+35,-1.0,-0.49999999999999467,21000000.0,100000.0
1.43,stage1,True,0.0,0.05,-3.093184204290273e+35,1.0,-0.24999999999999445,100000.0,21000000.0
1.44,stage1,True,0.0,0.05,5.65169130545089e+35,-1.0,-0.49999999999999467,21000000.0,100000.0
1.45,stage1,True,0.0,0.05,-1.0326450835939828e+36,1.0,-0.24999999999999445,100000.0,21000000.0
1.46,stage1,True,0.0,0.05,1.8867907163336322e+36,-1.0,-0.49999999999999467,21000000.0,100000.0
1.47,stage1,True,0.0,0.05,-3.447437327501476e+36,1.0,-0.24999999999999445,100000.0,21000000.0
1.48,stage1,True,0.0,0.05,6.298962584544e+36,-1.0,-0.49999999999999467,21000000.0,100000.0
1.49,stage1,True,0.0,0.05,-1.150910832373014e+37,1.0,-0.24999999999999445,100000.0,21000000.0
1.5,stage1,True,0.0,0.05,2.102879206369242e+37,-1.0,-0.49999999999999467,21000000.0,100000.0
1.51,stage1,True,0.0,0.05,-3.842261999969531e+37,1.0,-0.24999999999999445,100000.0,21000000.0
1.52,stage1,True,0.0,0.05,7.02036390473379e+37,-1.0,-0.49999999999999467,21000000.0,100000.0
1.53,stage1,True,0.0,0.05,-1.2827212031683384e+38,1.0,-0.24999999999999445,100000.0,21000000.0
1.54,stage1,True,0.0,0.05,2.3437156640101874e+38,-1.0,-0.49999999999999467,21000000.0,100000.0
1.55,stage1,True,0.0,0.05,-4.2823047597240326e+38,1.0,-0.24999999999999445,100000.0,21000000.0
1.56,stage1,True,0.0,0.05,7.824385157616709e+38,-1.0,-0.49999999999999467,21000000.0,100000.0
1.57,stage1,True,0.0,0.05,-1.4296274209750074e+39,1.0,-0.24999999999999445,100000.0,21000000.0
1.58,stage1,True,0.0,0.05,2.6121343998691868e+39,-1.0,-0.49999999999999467,21000000.0,100000.0
1.59,stage1,True,0.0,0.05,-4.7727442988792843e+39,1.0,-0.24999999999999445,100000.0,21000000.0
1.6,stage1,True,0.0,0.05,8.72048855664757e+39,-1.0,-0.49999999999999467,21000000.0,100000.0
1.61,stage1,True,0.0,0.05,-1.5933583679410232e+40,1.0,-0.24999999999999445,100000.0,21000000.0
1.62,stage1,True,0.0,0.05,2.9112943296650256e+40,-1.0,-0.49999999999999467,21000000.0,100000.0
1.63,stage1,True,0.0,0.05,-5.319352409647438e+40,1.0,-0.25,100000.0,21000000.0
1.64,stage1,True,0.0,0.05,9.719219994249468e+40,-1.0,-0.5000000000000002,21000000.0,100000.0
1.65,stage1,True,0.0,0.05,-1.7758409299089034e+41,1.0,-0.25,100000.0,21000000.0
1.66,stage1,True,0.0,0.05,3.2447161502729996e+41,-1.0,-0.5000000000000002,21000000.0,100000.0
1.67,stage1,True,0.0,0.05,-5.9285619103184436e+41,1.0,-0.25,100000.0,21000000.0
1.68,stage1,True,0.0,0.05,1.0832333152322573e+42,-1.0,-0.5000000000000002,21000000.0,100000.0
1.69,stage1,True,0.0,0.05,-1.979222673186254e+42,1.0,-0.25,100000.0,21000000.0
1.7,stage1,True,0.0,0.05,3.6163237734380626e+42,-1.0,-0.5000000000000002,21000000.0,100000.0
1.71,stage1,True,0.0,0.05,-6.607542350593635e+42,1.0,-0.25,100000.0,21000000.0
1.72,stage1,True,0.0,0.05,1.20729278267529e+43,-1.0,-0.5000000000000002,21000000.0,100000.0
1.73,stage1,True,0.0,0.05,-2.205897118417857e+43,1.0,-0.25,100000.0,21000000.0
1.74,stage1,True,0.0,0.05,4.030490504765111e+43,-1.0,-0.5000000000000002,21000000.0,100000.0
1.75,stage1,True,0.0,0.05,-7.364284387230651e+43,1.0,-0.25,100000.0,21000000.0
1.76,stage1,True,0.0,0.05,1.3455604093817296e+44,-1.0,-0.5000000000000002,21000000.0,100000.0
1.77,stage1,True,0.0,0.05,-2.4585319089997563e+44,1.0,-0.25,100000.0,21000000.0
1.78,stage1,True,0.0,0.05,4.492090511452632e+44,-1.0,-0.5000000000000002,21000000.0,100000.0
1.79,stage1,True,0.0,0.05,-8.207693822974405e+44,1.0,-0.25,100000.0,21000000.0
1.8,stage1,True,0.0,0.05,1.4996634132803256e+45,-1.0,-0.5000000000000002,21000000.0,100000.0
1.81,stage1,True,0.0,0.05,-2.7401002055368823e+45,1.0,-0.25,100000.0,21000000.0
1.82,stage1,True,0.0,0.05,5.006556184470841e+45,-1.0,-0.5000000000000002,21000000.0,100000.0
1.83,stage1,True,0.0,0.05,-9.147696415486382e+45,1.0,-0.25,100000.0,21000000.0
1.84,stage1,True,0.0,0.05,1.6714153726958887e+46,-1.0,-0.5000000000000002,21000000.0,100000.0
1.85,stage1,True,0.0,0.05,-3.0539156758139974e+46,1.0,-0.25,100000.0,21000000.0
1.86,stage1,True,0.0,0.05,5.579942070258429e+46,-1.0,-0.5000000000000002,21000000.0,100000.0
1.87,stage1,True,0.0,0.05,-1.0195354689726642e+47,1.0,-0.25,100000.0,21000000.0
1.88,stage1,True,0.0,0.05,1.8628375696471658e+47,-1.0,-0.49999999999999467,21000000.0,100000.0
1.89,stage1,True,0.0,0.05,-3.403671492063041e+47,1.0,-0.24999999999999445,100000.0,21000000.0
1.9,stage1,True,0.0,0.05,6.218996124324701e+47,-1.0,-0.49999999999999467,21000000.0,100000.0
1.91,stage1,True,0.0,0.05,-1.136299812850731e+48,1.0,-0.24999999999999445,100000.0,21000000.0
1.92,stage1,True,0.0,0.05,2.07618277752956e+48,-1.0,-0.49999999999999467,21000000.0,100000.0
1.93,stage1,True,0.0,0.05,-3.793483794471603e+48,1.0,-0.24999999999999445,100000.0,21000000.0
1.94,stage1,True,0.0,0.05,6.931239125315295e+48,-1.0,-0.49999999999999467,21000000.0,100000.0
1.95,stage1,True,0.0,0.05,-1.266436827338374e+49,1.0,-0.24999999999999445,100000.0,21000000.0
1.96,stage1,True,0.0,0.05,2.3139617731280168e+49,-1.0,-0.49999999999999467,21000000.0,100000.0
