"time","soc","T_core_C","voltage_V","current_A","pump_cmd","fan_cmd","mode","coolant_in_temp_C","coolant_flow_kgps","T_surface_C"
258.0,0.7451959871025683,32.166481379293224,375.7393265293164,47.905409506391294,0.0,0.0,0.0,35.0,0.0,31.115154720691823
259.0,0.7449741991601823,32.17521094210278,375.72811646279047,47.90683875238631,0.0,0.0,0.0,35.0,0.0,31.11923779151408
260.0,0.7447524045997965,32.18394045015742,375.71690361535497,47.90826843825094,0.0,0.0,0.0,35.0,0.0,31.12331923387554
261.0,0.7445306034193744,32.19266990341498,375.7056879860302,47.909698564181326,0.0,0.0,0.0,35.0,0.0,31.127399050011196
262.0,0.7443087956168779,32.201399301833554,375.69446957383536,47.91112913037365,0.0,0.0,0.0,35.0,0.0,31.131477242152926
263.0,0.7440869811902684,32.210128645371526,375.68324837778874,47.91256013702434,0.0,0.0,0.0,35.0,0.0,31.135553812529487
264.0,0.7438651601375058,32.21885793398761,375.672024396908,47.913991584329956,0.0,0.0,0.0,35.0,0.0,31.139628763366527
265.0,0.74364333245655,32.22758716764074,375.66079763020997,47.91542347248724,0.0,0.0,0.0,35.0,0.0,31.143702096886578
266.0,0.7434214981453595,32.23631634629021,375.6495680767104,47.916855801693075,0.0,0.0,0.0,35.0,0.0,31.14777381530907
267.0,0.7431996572018915,32.24504546989558,375.63833573542445,47.91828857214451,0.0,0.0,0.0,35.0,0.0,31.15184392085034
268.0,0.7429778096241032,32.2537745384167,375.6271006053663,47.919721784038835,0.0,0.0,0.0,35.0,0.0,31.155912415723613
269.0,0.7427559554099502,32.26250355181371,375.6158626855494,47.92115543757339,0.0,0.0,0.0,35.0,0.0,31.15997930213905
270.0,0.7425340945573874,32.271232510047035,375.6046219749862,47.92258953294576,0.0,0.0,0.0,35.0,0.0,31.164044582303706
271.0,0.7423122270643686,32.27996141307737,375.5933784726883,47.924024070353674,0.0,0.0,0.0,35.0,0.0,31.16810825842156
272.0,0.742090352928847,32.288690260865756,375.58213217766667,47.92545904999502,0.0,0.0,0.0,35.0,0.0,31.17217033269352
273.0,0.7418684721487747,32.297419053373474,375.57088308893117,47.926894472067865,0.0,0.0,0.0,35.0,0.0,31.176230807317406
274.0,0.7416465847221029,32.30614779056212,375.55963120549103,47.928330336770436,0.0,0.0,0.0,35.0,0.0,31.180289684487988
275.0,0.7414246906467817,32.314876472393564,375.5483765263546,47.929766644301125,0.0,0.0,0.0,35.0,0.0,31.18434696639695
276.0,0.7412027899207607,32.32360509882996,375.5371190505292,47.931203394858485,0.0,0.0,0.0,35.0,0.0,31.18840265523294
277.0,0.740980882541988,32.33233366983375,375.52585877702165,47.932640588641256,0.0,0.0,0.0,35.0,0.0,31.192456753181528
278.0,0.7407589685084116,32.34106218536769,375.5145957048375,47.934078225848324,0.0,0.0,0.0,35.0,0.0,31.196509262425256
279.0,0.7405370478179777,32.34979064539476,375.50332983298176,47.93551630667876,0.0,0.0,0.0,35.0,0.0,31.2005601851436
280.0,0.7403151204686321,32.3585190498783,375.4920611604584,47.93695483133178,0.0,0.0,0.0,35.0,0.0,31.20460952351301
281.0,0.7400931864583198,32.367247398781906,375.4807896862708,47.93839380000681,0.0,0.0,0.0,35.0,0.0,31.20865727970687
282.0,0.7398712457849844,32.37597569206945,375.4695154094212,47.93983321290336,0.0,0.0,0.0,35.0,0.0,31.21270345589557
283.0,0.7396492984465687,32.384703929705104,375.4582383289111,47.94127307022121,0.0,0.0,0.0,35.0,0.0,31.216748054246445
284.0,0.7394273444410151,32.39343211165332,375.4469584437413,47.94271337216023,0.0,0.0,0.0,35.0,0.0,31.220791076923806
285.0,0.7392053837662642,32.40216023787882,375.43567575291155,47.9441541189205,0.0,0.0,0.0,35.0,0.0,31.224832526088964
286.0,0.7389834164202564,32.41088830834663,375.42439025542086,47.94559531070225,0.0,0.0,0.0,35.0,0.0,31.228872403900183
287.0,0.7387614424009308,32.41961632302206,375.4131019502672,47.94703694770589,0.0,0.0,0.0,35.0,0.0,31.232910712512737
288.0,0.7385394617062258,32.42834428187069,375.4018108364481,47.948479030131985,0.0,0.0,0.0,35.0,0.0,31.236947454078884
289.0,0.7383174743340783,32.437072184858394,375.39051691295987,47.94992155818126,0.0,0.0,0.0,35.0,0.0,31.24098263074788
290.0,0.7380954802824254,32.44580003195133,375.3792201787979,47.95136453205464,0.0,0.0,0.0,35.0,0.0,31.245016244665987
291.0,0.7378734795492023,32.45452782311593,375.36792063295724,47.9528079519532,0.0,0.0,0.0,35.0,0.0,31.24904829797647
