time,stage_id,y,_output,x2
0.629,stage1,0,0,0
0.63,stage1,0,0,0
0.631,stage1,0,0,0
0.632,stage1,0,0,0
0.633,stage1,0,0,0
0.634,stage1,0,0,0
0.635,stage1,0,0,0
0.636,stage1,0,0,0
0.637,stage1,0,0,0
0.638,stage1,0,0,0
0.639,stage1,0,0,0
0.64,stage1,0,0,0
0.641,stage1,0,0,0
0.642,stage1,0,0,0
0.643,stage1,0,0,0
0.644,stage1,0,0,0
0.645,stage1,0,0,0
0.646,stage1,0,0,0
0.647,stage1,0,0,0
0.648,stage1,0,0,0
0.649,stage1,0,0,0
0.65,stage1,0,0,0
0.651,stage1,0,0,0
0.652,stage1,0,0,0
0.653,stage1,0,0,0
0.654,stage1,0,0,0
0.655,stage1,0,0,0
0.656,stage1,0,0,0
0.657,stage1,0,0,0
0.658,stage1,0,0,0
0.659,stage1,0,0,0
0.66,stage1,0,0,0
0.661,stage1,0,0,0
0.662,stage1,0,0,0
0.663,stage1,0,0,0
0.664,stage1,0,0,0
0.665,stage1,0,0,0
0.666,stage1,0,0,0
0.667,stage1,0,0,0
0.668,stage1,0,0,0
0.669,stage1,0,0,0
0.67,stage1,0,0,0
0.671,stage1,0,0,0
0.672,stage1,0,0,0
0.673,stage1,0,0,0
0.674,stage1,0,0,0
0.675,stage1,0,0,0
0.676,stage1,0,0,0
0.677,stage1,0,0,0
0.678,stage1,0,0,0
0.679,stage1,0,0,0
0.68,stage1,0,0,0
0.681,stage1,0,0,0
0.682,stage1,0,0,0
0.683,stage1,0,0,0
0.684,stage1,0,0,0
0.685,stage1,0,0,0
0.686,stage1,0,0,0
0.687,stage1,0,0,0
0.688,stage1,0,0,0
0.689,stage1,0,0,0
0.69,stage1,0,0,0
0.691,stage1,0,0,0
0.692,stage1,0,0,0
0.693,stage1,0,0,0
0.694,stage1,0,0,0
0.695,stage1,0,0,0
0.696,stage1,0,0,0
0.697,stage1,0,0,0
0.698,stage1,0,0,0
0.699,stage1,0,0,0
0.7,stage1,0,0,0
0.701,stage1,0,0,0
0.702,stage1,0,0,0
0.703,stage1,0,0,0
0.704,stage1,0,0,0
0.705,stage1,0,0,0
0.706,stage1,0,0,0
0.707,stage1,0,0,0
0.708,stage1,0,0,0
0.709,stage1,0,0,0
0.71,stage1,0,0,0
0.711,stage1,0,0,0
0.712,stage1,0,0,0
0.713,stage1,0,0,0
0.714,stage1,0,0,0
0.715,stage1,0,0,0
0.716,stage1,0,0,0
0.717,stage1,0,0,0
0.718,stage1,0,0,0
0.719,stage1,0,0,0
0.72,stage1,0,0,0
0.721,stage1,0,0,0
0.722,stage1,0,0,0
0.723,stage1,0,0,0
0.724,stage1,0,0,0
0.725,stage1,0,0,0
0.726,stage1,0,0,0
0.727,stage1,0,0,0
0.728,stage1,0,0,0
0.729,stage1,0,0,0
0.73,stage1,0,0,0
0.731,stage1,0,0,0
0.732,stage1,0,0,0
0.733,stage1,0,0,0
0.734,stage1,0,0,0
0.735,stage1,0,0,0
0.736,stage1,0,0,0
0.737,stage1,0,0,0
0.738,stage1,0,0,0
0.739,stage1,0,0,0
0.74,stage1,0,0,0
0.741,stage1,0,0,0
0.742,stage1,0,0,0
0.743,stage1,0,0,0
0.744,stage1,0,0,0
0.745,stage1,0,0,0
0.746,stage1,0,0,0
0.747,stage1,0,0,0
0.748,stage1,0,0,0
0.749,stage1,0,0,0
0.75,stage1,0,0,0
0.751,stage1,0,0,0
0.752,stage1,0,0,0
0.753,stage1,0,0,0
0.754,stage1,0,0,0
0.755,stage1,0,0,0
0.756,stage1,0,0,0
0.757,stage1,0,0,0
0.758,stage1,0,0,0
0.759,stage1,0,0,0
0.76,stage1,0,0,0
0.761,stage1,0,0,0
0.762,stage1,0,0,0
0.763,stage1,0,0,0
0.764,stage1,0,0,0
0.765,stage1,0,0,0
0.766,stage1,0,0,0
0.767,stage1,0,0,0
0.768,stage1,0,0,0
0.769,stage1,0,0,0
0.77,stage1,0,0,0
0.771,stage1,0,0,0
0.772,stage1,0,0,0
0.773,stage1,0,0,0
0.774,stage1,0,0,0
0.775,stage1,0,0,0
0.776,stage1,0,0,0
0.777,stage1,0,0,0
0.778,stage1,0,0,0
0.779,stage1,0,0,0
0.78,stage1,0,0,0
0.781,stage1,0,0,0
0.782,stage1,0,0,0
0.783,stage1,0,0,0
0.784,stage1,0,0,0
0.785,stage1,0,0,0
0.786,stage1,0,0,0
0.787,stage1,0,0,0
0.788,stage1,0,0,0
0.789,stage1,0,0,0
0.79,stage1,0,0,0
0.791,stage1,0,0,0
0.792,stage1,0,0,0
0.793,stage1,0,0,0
0.794,stage1,0,0,0
0.795,stage1,0,0,0
0.796,stage1,0,0,0
0.797,stage1,0,0,0
0.798,stage1,0,0,0
0.799,stage1,0,0,0
0.8,stage1,0,0,0
0.801,stage1,0,0,0
0.802,stage1,0,0,0
0.803,stage1,0,0,0
0.804,stage1,0,0,0
0.805,stage1,0,0,0
0.806,stage1,0,0,0
0.807,stage1,0,0,0
0.808,stage1,0,0,0
0.809,stage1,0,0,0
0.81,stage1,0,0,0
0.811,stage1,0,0,0
0.812,stage1,0,0,0
0.813,stage1,0,0,0
0.814,stage1,0,0,0
0.815,stage1,0,0,0
0.816,stage1,0,0,0
0.817,stage1,0,0,0
0.818,stage1,0,0,0
0.819,stage1,0,0,0
0.82,stage1,0,0,0
0.821,stage1,0,0,0
0.822,stage1,0,0,0
0.823,stage1,0,0,0
0.824,stage1,0,0,0
0.825,stage1,0,0,0
0.826,stage1,0,0,0
0.827,stage1,0,0,0
0.828,stage1,0,0,0
0.829,stage1,0,0,0
0.83,stage1,0,0,0
0.831,stage1,0,0,0
0.832,stage1,0,0,0
0.833,stage1,0,0,0
0.834,stage1,0,0,0
0.835,stage1,0,0,0
0.836,stage1,0,0,0
0.837,stage1,0,0,0
0.838,stage1,0,0,0
0.839,stage1,0,0,0
0.84,stage1,0,0,0
0.841,stage1,0,0,0
0.842,stage1,0,0,0
0.843,stage1,0,0,0
0.844,stage1,0,0,0
0.845,stage1,0,0,0
0.846,stage1,0,0,0
0.847,stage1,0,0,0
0.848,stage1,0,0,0
0.849,stage1,0,0,0
0.85,stage1,0,0,0
0.851,stage1,0,0,0
0.852,stage1,0,0,0
0.853,stage1,0,0,0
0.854,stage1,0,0,0
0.855,stage1,0,0,0
0.856,stage1,0,0,0
0.857,stage1,0,0,0
0.858,stage1,0,0,0
0.859,stage1,0,0,0
0.86,stage1,0,0,0
0.861,stage1,0,0,0
0.862,stage1,0,0,0
0.863,stage1,0,0,0
0.864,stage1,0,0,0
0.865,stage1,0,0,0
0.866,stage1,0,0,0
0.867,stage1,0,0,0
0.868,stage1,0,0,0
0.869,stage1,0,0,0
0.87,stage1,0,0,0
0.871,stage1,0,0,0
0.872,stage1,0,0,0
0.873,stage1,0,0,0
0.874,stage1,0,0,0
0.875,stage1,0,0,0
0.876,stage1,0,0,0
0.877,stage1,0,0,0
0.878,stage1,0,0,0
0.879,stage1,0,0,0
0.88,stage1,0,0,0
0.881,stage1,0,0,0
0.882,stage1,0,0,0
0.883,stage1,0,0,0
0.884,stage1,0,0,0
0.885,stage1,0,0,0
0.886,stage1,0,0,0
0.887,stage1,0,0,0
0.888,stage1,0,0,0
0.889,stage1,0,0,0
0.89,stage1,0,0,0
0.891,stage1,0,0,0
0.892,stage1,0,0,0
0.893,stage1,0,0,0
0.894,stage1,0,0,0
0.895,stage1,0,0,0
0.896,stage1,0,0,0
0.897,stage1,0,0,0
0.898,stage1,0,0,0
0.899,stage1,0,0,0
0.9,stage1,0,0,0
0.901,stage1,0,0,0
0.902,stage1,0,0,0
0.903,stage1,0,0,0
0.904,stage1,0,0,0
0.905,stage1,0,0,0
0.906,stage1,0,0,0
0.907,stage1,0,0,0
0.908,stage1,0,0,0
0.909,stage1,0,0,0
0.91,stage1,0,0,0
0.911,stage1,0,0,0
0.912,stage1,0,0,0
0.913,stage1,0,0,0
0.914,stage1,0,0,0
0.915,stage1,0,0,0
0.916,stage1,0,0,0
0.917,stage1,0,0,0
0.918,stage1,0,0,0
0.919,stage1,0,0,0
0.92,stage1,0,0,0
