time,stage_id,disturbance_force_N_profile,enable,reset,x_ref_m_profile,x_m,theta_rad,x_dot_mps,theta_dot_rps,theta_meas_rad,theta_dot_meas_rps,force_cmd_N
5.625,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.00012682146283172227,0.0622367422185536,0.0
5.626,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.004152161452823121,0.03222798245414485,0.0
5.627,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.005117893090970026,0.05756508239054985,0.0
5.628,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0036659969845185174,0.0690500437459309,0.0
5.629,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0026650211839004995,0.062344614853019,0.0
5.63,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0018301985239223056,0.0077689407386492895,0.0
5.631,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.003906835692747776,0.044802571252425205,0.0
5.632,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.002073140419135218,0.03586931710243067,0.0
5.633,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.006151508947582634,0.046697160256319564,0.0
5.634,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0006180172410771697,0.036928703736069615,0.0
5.635,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.00345318045296712,0.04990039073652517,0.0
5.636,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0002632791641072511,0.041919521067013216,0.0
5.637,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.00362960419631852,0.05300073740655894,0.0
5.638,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.004066896412591118,0.054850920007040616,0.0
5.639,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0024904390425300477,0.0026083129950495512,0.0
5.64,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0031657349953410903,0.06805253416686682,0.0
5.641,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.003956861272260693,0.037514723227154906,0.0
5.642,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.00455971816241847,0.03135857473455718,0.0
5.643,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0022725963252583042,0.05156602154392594,0.0
5.644,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.003619425632805651,0.10028107245487111,0.0
5.645,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0037216151581136803,0.06412501193889562,0.0
5.646,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.000799196946177565,0.04705307462767067,0.0
5.647,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.00022265226500355683,0.056613812271254595,0.0
5.648,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.000663768919792343,0.03771571922903049,0.0
5.649,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0010016623756812985,0.0359954661832054,0.0
5.65,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.002715893488613884,0.004182336962243453,0.0
5.651,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.00019393103723025043,0.06529156867284887,0.0
5.652,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0016145559771798968,0.08128141177666856,0.0
5.653,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0047949349313885,0.09248544428413347,0.0
5.654,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0026931085862914516,0.03874688291864572,0.0
5.655,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0020643203488501707,0.07459285149311799,0.0
5.656,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.004871909321663704,0.013977636269273001,0.0
5.657,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0009092833189116461,0.04352817341130369,0.0
5.658,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.00323811846772749,0.0538128483064357,0.0
