"time","x_m","x_dot_mps","theta_rad","theta_dot_radps","force_cmd_N"
6.0,0.2998887097658284,0.0002516004449479842,-5.011583818415167e-05,0.00011464022013336863,-0.0004819796915804808
6.01,0.300151531014258,0.046276111744750784,-0.0005689005281920755,-0.09175258807499206,-0.7811117661970979
6.02,0.30082859314144217,0.08407371266950533,-0.0019128550117741396,-0.1669427636126384,-1.5598268438540455
6.03,0.30184249465891855,0.11451613790642247,-0.003926611474031374,-0.22749435745185387,-2.254093668531952
6.04,0.30312408155600407,0.13839101253314698,-0.006473960248845157,-0.27522646459624434,-2.872193578044736
6.05,0.3046116528862981,0.1564102043146179,-0.009435784496878317,-0.3117617818641301,-3.4215844766433756
6.06,0.3062502450378682,0.16921730674365568,-0.012708211223067336,-0.33854716786866856,-3.9089871863310144
6.07,0.3079909864184109,0.17739433204280988,-0.016200955523680956,-0.35687198784425356,-4.340461950327914
6.08,0.30979051512695305,0.18146769995637355,-0.019835837187392305,-0.3678844767255119,-4.721476012800245
6.09,0.31161045302745805,0.1819136045005198,-0.023545451109102947,-0.37260635041539375,-5.056963390859767
6.1,0.3134169304183254,0.17916283262186777,-0.02727197517477493,-0.37194587553420366,-5.351377933048278
6.11,0.3151801561788915,0.17360509914389252,-0.03096610124006127,-0.3667095824143191,-5.608740638506234
6.12,0.316874028866244,0.16559295312382488,-0.03458607652977692,-0.35761278024403914,-5.832682058379929
6.13,0.31847578474082794,0.15544530255625727,-0.038096844242456906,-0.34528900975918375,-6.026480450538436
6.14,0.3199656791297659,0.14345059748276748,-0.04146927338465383,-0.3302985487649778,-6.193096226640938
6.15,0.32132669790560225,0.1298697059652337,-0.04467946891832485,-0.3131360691667423,-6.335203122640904
6.16,0.3225442961772378,0.11493851289285599,-0.047708154215203295,-0.2942375307678979,-6.4552164397912435
6.17,0.32360616156918176,0.0988702680153632,-0.050540118603554035,-0.2739863863481252,-6.555318640202764
6.18,0.3245019997128871,0.08185770672663317,-0.05316372348892933,-0.25271916392291355,-6.637482535063821
6.19,0.3252233397959617,0.06407496478805803,-0.055570461150043014,-0.23073048511431632,-6.7034922707614895
6.2,0.32576335821597224,0.045679306236346945,-0.05775456086771377,-0.208277572816942,-6.7549622947992365
6.21,0.32585651010064304,-0.0191989168871501,-0.059193858397630264,-0.09391358658084084,-6.015276381122915
6.22,0.32534473517170764,-0.07622193712144305,-0.059582151786929174,0.0039029171029969292,-5.265284397157743
6.23,0.3243023927687225,-0.12614042270901646,-0.05907450221747903,0.08703356727234762,-4.58840271163919
6.24,0.3227967456045207,-0.16963175902072736,-0.05780847229523603,0.15714034422734133,-3.977505196323283
6.25,0.32088864785346616,-0.207308034783304,-0.055905996804570965,0.21570803441615702,-3.426228262583301
6.26,0.318633158683157,-0.23972307519705496,-0.05347504350946085,0.26406405674428596,-2.928876501572008
6.27,0.3160800902852052,-0.2673786117148234,-0.05061108917906888,0.3033958740587122,-2.480340894687355
6.28,0.3132744984800479,-0.2907296906145649,-0.04739843355098653,0.33476625434053436,-2.0760285543488
6.29,0.3102571229484256,-0.3101894212309222,-0.04391137123520721,0.3591266531921803,-1.7118025975509172
6.3,0.3070647831747758,-0.3261331565289624,-0.04021523892165181,0.37732897309077024,-1.3839306849763942
6.31,0.3037307353206996,-0.33890218761542074,-0.03636735284176847,0.3901359280315772,-1.0890408425540494
6.32,0.3002849944951436,-0.34880702209050474,-0.03241784931435464,0.3982302118821582,-0.8240833387976529
6.33,0.2967546262505797,-0.3561303050841948,-0.02841043938752746,0.4022226390553904,-0.5862975720927555
6.34,0.2931640106012593,-0.3611294319839706,-0.024383087054217528,0.4026593990448356,-0.3731831004170836
6.35,0.28953508141700496,-0.3640388934509395,-0.02036861923573331,0.40002854280789446,-0.1824741079585861
6.36,0.28588754367962754,-0.3650723863266383,-0.016395274660441047,0.3947657990967271,-0.012116742832873229
6.37,0.2822390707854049,-0.3644247183289782,-0.01248719787665142,0.38725980241195146,0.13975112366351272
6.38,0.2786054838241409,-0.3622735298495773,-0.008664883897870786,0.37785680089544726,0.2748180718002491
6.39,0.2750009145529927,-0.35878085251112185,-0.004945578356503654,0.36686490172706154,0.3946155233236768
6.4,0.27143795360315515,-0.35409452124667573,-0.001343637515344051,0.3545579029891803,0.5005325699527434
6.41,0.2679277853029373,-0.3483494543668331,0.002129147964401659,0.3411787540952456,0.5938294197466414
6.42,0.26448031036649927,-0.3416688142526233,0.00546326198954507,0.3269426813805786,0.6756496073163349
6.43,0.2611042575794725,-0.3341650598433014,0.008651201567627227,0.3120400110230197,0.7470310889371801
6.44,0.25780728550777365,-0.32594090089169175,0.011687242038969297,0.29663871785074536,0.8089163250795304
6.45,0.254596075161792,-0.31709016296794923,0.014567226409832002,0.28088672561026773,0.862161439068216
6.46,0.2514764144630436,-0.3076985713538869,0.01728837643004174,0.26491398175809744,0.9075445302183436
6.47,0.24845327528303143,-0.2978444612459021,0.01984912327699641,0.2488343276901814,0.9457732118815132
6.48,0.2455308837534359,-0.28759942104687564,0.02224895590659688,0.23274718344855436,0.977491438629511
6.49,0.2427127844821486,-0.27702887495602313,0.024488285312745696,0.21673906428202858,1.003285681757844
6.5,0.2400018992504676,-0.26619261054636806,0.026568323102474083,0.20088494494207534,1.023690508022641
6.51,0.237400580712529,-0.2551452565424958,0.028490972944984722,0.1852494862342713,1.0391936127641799
