time,stage_id,valve,level,y,_output
60.3,stage1,1,1.4105107718891283,141,0
60.4,stage1,1,1.3595906496077683,136,0
60.5,stage1,1,1.3139290270947523,131,0
60.6,stage1,1,1.272982861274479,127,0
60.7,stage1,1,1.2362651889030385,124,0
60.8,stage1,1,1.203339335227406,120,0
60.9,stage1,1,1.1738137207139892,117,0
61.0,stage1,1,1.1473372040841374,115,0
61.1,stage1,1,1.1235949062724455,112,0
61.2,stage1,1,1.1023044656431233,110,0
61.3,stage1,1,1.0832126799286228,108,0
61.4,stage1,1,1.0660924949538513,107,0
61.5,stage1,1,1.0507403043335781,105,0
61.6,stage1,1,1.03697352802897,104,0
61.7,stage1,1,1.024628440965574,102,0
61.8,stage1,1,1.01355822588902,101,0
61.9,stage1,1,1.0036312273014985,100,0
62.0,stage1,1,0.9947293857134901,99,0
62.1,stage1,0,1.0929222939961127,109,0
62.2,stage1,0,1.192922293996115,119,0
62.3,stage1,0,1.2929222939961174,129,0
62.4,stage1,0,1.3929222939961197,139,0
62.5,stage1,0,1.492922293996122,149,0
62.6,stage1,0,1.5929222939961243,159,0
62.7,stage1,0,1.6929222939961266,169,0
62.8,stage1,0,1.792922293996129,179,0
62.9,stage1,0,1.8929222939961312,189,0
63.0,stage1,0,1.9929222939961335,199,0
63.1,stage1,0,2.0929222939961316,209,0
63.2,stage1,1,1.9749393148995238,197,0
63.3,stage1,1,1.86573089263595,187,0
63.4,stage1,1,1.7678003785439451,177,0
63.5,stage1,1,1.679983107755268,168,0
63.6,stage1,1,1.6012346898563636,160,0
63.7,stage1,1,1.5306185881956391,153,0
63.8,stage1,1,1.4672949818705003,147,0
63.9,stage1,1,1.4105107779323296,141,0
64.0,stage1,1,1.3595906550268906,136,0
64.1,stage1,1,1.313929031954244,131,0
64.2,stage1,1,1.2729828656321334,127,0
64.3,stage1,1,1.2362651928106796,124,0
64.4,stage1,1,1.2033393387315072,120,0
64.5,stage1,1,1.1738137238562232,117,0
64.6,stage1,1,1.1473372069018755,115,0
64.7,stage1,1,1.123594908799196,112,0
64.8,stage1,1,1.1023044679089373,110,0
64.9,stage1,1,1.0832126819604473,108,0
65.0,stage1,1,1.0660924967758498,107,0
65.1,stage1,1,1.0507403059674194,105,0
65.2,stage1,1,1.0369735294940854,104,0
65.3,stage1,1,1.0246284422793874,102,0
65.4,stage1,1,1.0135582270671561,101,0
65.5,stage1,1,1.0036312283579685,100,0
65.6,stage1,1,0.994729386660859,99,0
65.7,stage1,0,1.0929222949417605,109,0
65.8,stage1,0,1.1929222949417628,119,0
65.9,stage1,0,1.2929222949417651,129,0
66.0,stage1,0,1.3929222949417674,139,0
66.1,stage1,0,1.4929222949417698,149,0
66.2,stage1,0,1.592922294941772,159,0
66.3,stage1,0,1.6929222949417744,169,0
66.4,stage1,0,1.7929222949417767,179,0
66.5,stage1,0,1.892922294941779,189,0
66.6,stage1,0,1.9929222949417813,199,0
66.7,stage1,0,2.092922294941779,209,0
66.8,stage1,1,1.9749393157490551,197,0
66.9,stage1,1,1.865730893397751,187,0
67.0,stage1,1,1.7678003792270747,177,0
67.1,stage1,1,1.679983108367851,168,0
67.2,stage1,1,1.6012346904056847,160,0
67.3,stage1,1,1.530618588688233,153,0
67.4,stage1,1,1.467294982312225,147,0
