time,stage_id,disturbance_force_N_profile,enable,reset,x_ref_m_profile,x_m,theta_rad,theta_hat_rad,bias_hat_rps,force_cmd_N,x_dot_mps,theta_dot_rps,theta_meas_rad,theta_dot_meas_rps,theta_dot_hat_rps
15.778,stage1,0.0,True,False,0.2,1.3263689251638153,-17.53454760055456,-17.646677569974013,-0.32135810169242207,-8.714337452103617,-9.267839453493625,11.240372560407705,1.317975982684782,11.279466623514855,11.600824725207277
15.779,stage1,0.0,True,False,0.2,1.317101085710327,-17.52330722799416,-17.644211443169777,-0.32126142952169595,-8.840050703061475,-9.378803339914707,11.341901097911233,1.326184691776696,11.389005409522875,11.710266839044571
15.78,stage1,0.0,True,False,0.2,1.3077222823704173,-17.511965326896256,-17.641502555883637,-0.32115524114007926,-8.963249689000177,-9.48821878235029,11.439224096914822,1.3407888426760621,11.472843416197302,11.793998657337381
15.781,stage1,0.0,True,False,0.2,1.2982340635880554,-17.500526102799327,-17.638674893364055,-0.3210443967693116,-9.083984695220321,-9.596077745593528,11.532387347830962,1.3494364916340658,11.578433318424054,11.899477715193365
15.782,stage1,0.0,True,False,0.2,1.2886379858424672,-17.488993715451503,-17.63566452821834,-0.32092639045559956,-9.20230500131585,-9.702372729351788,11.621440538055891,1.3613992854605925,11.701798609313611,12.022724999769212
15.783,stage1,0.0,True,False,0.2,1.2789356131131209,-17.477372274913453,-17.63251022683789,-0.320802741841486,-9.318258901289468,-9.80709673657128,11.706437130252928,1.3716064623429034,11.72216152169853,12.042964263540016
15.784,stage1,0.0,True,False,0.2,1.2691285163765376,-17.465665837783185,-17.62920462485461,-0.32067316224374137,-9.431893723263817,-9.910243241331017,11.787434239203607,1.3823257938647444,11.84922786722081,12.169901029464551
15.785,stage1,0.0,True,False,0.2,1.259218273135212,-17.45387840354399,-17.625683434719488,-0.32053513159044467,-9.543255848798479,-10.01180615644857,11.864492507758424,1.3964108034402472,11.944411527402746,12.26494665899319
15.786,stage1,0.0,True,False,0.2,1.249206466978769,-17.442013911036238,-17.622013572176527,-0.3203912729787606,-9.652390731822448,-10.11177980093659,11.93767598239284,1.4073656139674569,11.994294585556574,12.314685858535334
15.787,stage1,0.0,True,False,0.2,1.2390946871778201,-17.430076235053832,-17.61814373012245,-0.3202395751702408,-9.75934291718613,-10.210158867440198,12.007051988842157,1.4210344520657543,12.06713898999249,12.38737856516273
15.788,stage1,0.0,True,False,0.2,1.2288845283103855,-17.418069183064997,-17.614176759874912,-0.32008406993653726,-9.86415605884235,-10.30693838978577,12.07269100826272,1.429760703793427,12.109199014269835,12.429283084206373
15.789,stage1,0.0,True,False,0.2,1.2185775899206055,-17.40599649205674,-17.609965465873717,-0.3199189872116904,-9.966872937665444,-10.402113710766296,12.134666554334329,1.445943861723734,12.181002018861706,12.500921006073396
15.79,stage1,0.0,True,False,0.2,1.208175476209845,-17.393861825502412,-17.60566580291942,-0.31975044042388195,-10.06753547891208,-10.495680450277888,12.19305505168214,1.454573603379984,12.21245254383328,12.532202984257161
15.791,stage1,0.0,True,False,0.2,1.1976797957595542,-17.381668770450716,-17.601169988898107,-0.31957420451424645,-10.166184769333958,-10.587634473922144,12.24793571596642,1.46868081968476,12.301287243241513,12.62086144775576
