time,stage_id,y
1.112,stage1,-54
1.113,stage1,-54
1.114,stage1,-54
1.115,stage1,-54
1.116,stage1,-54
1.117,stage1,-54
1.118,stage1,-54
1.119,stage1,-54
1.12,stage1,-54
1.121,stage1,-54
1.122,stage1,-54
1.123,stage1,-54
1.124,stage1,-54
1.125,stage1,-54
1.126,stage1,-54
1.127,stage1,-54
1.128,stage1,-54
1.129,stage1,-54
1.13,stage1,-54
1.131,stage1,-54
1.132,stage1,-54
1.133,stage1,-54
1.134,stage1,-54
1.135,stage1,-54
1.136,stage1,-54
1.137,stage1,-54
1.138,stage1,-54
1.139,stage1,-54
1.14,stage1,-54
1.141,stage1,-54
1.142,stage1,-55
1.143,stage1,-55
1.144,stage1,-55
1.145,stage1,-55
1.146,stage1,-55
1.147,stage1,-55
1.148,stage1,-55
1.149,stage1,-55
1.15,stage1,-55
1.151,stage1,-55
1.152,stage1,-55
1.153,stage1,-55
1.154,stage1,-55
1.155,stage1,-55
1.156,stage1,-55
1.157,stage1,-55
1.158,stage1,-55
1.159,stage1,-55
1.16,stage1,-55
1.161,stage1,-55
1.162,stage1,-55
1.163,stage1,-55
1.164,stage1,-55
1.165,stage1,-55
1.166,stage1,-55
1.167,stage1,-55
1.168,stage1,-55
1.169,stage1,-55
1.17,stage1,-55
1.171,stage1,-55
1.172,stage1,-55
1.173,stage1,-55
1.174,stage1,-55
1.175,stage1,-55
1.176,stage1,-55
1.177,stage1,-55
1.178,stage1,-55
1.179,stage1,-55
1.18,stage1,-55
1.181,stage1,-55
1.182,stage1,-55
1.183,stage1,-55
1.184,stage1,-55
1.185,stage1,-55
1.186,stage1,-55
1.187,stage1,-55
1.188,stage1,-55
1.189,stage1,-55
1.19,stage1,-55
1.191,stage1,-55
1.192,stage1,-55
1.193,stage1,-55
1.194,stage1,-55
1.195,stage1,-55
1.196,stage1,-55
1.197,stage1,-55
1.198,stage1,-55
1.199,stage1,-55
1.2,stage1,-55
1.201,stage1,-55
1.202,stage1,-55
1.203,stage1,-55
1.204,stage1,-55
1.205,stage1,-55
1.206,stage1,-55
1.207,stage1,-55
1.208,stage1,-55
1.209,stage1,-55
1.21,stage1,-55
1.211,stage1,-55
1.212,stage1,-55
1.213,stage1,-55
1.214,stage1,-55
1.215,stage1,-55
1.216,stage1,-55
1.217,stage1,-55
1.218,stage1,-55
1.219,stage1,-55
1.22,stage1,-55
1.221,stage1,-55
1.222,stage1,-55
1.223,stage1,-55
1.224,stage1,-55
1.225,stage1,-55
1.226,stage1,-55
1.227,stage1,-55
1.228,stage1,-55
1.229,stage1,-55
1.23,stage1,-55
1.231,stage1,-55
1.232,stage1,-55
1.233,stage1,-55
1.234,stage1,-55
1.235,stage1,-55
1.236,stage1,-55
1.237,stage1,-55
1.238,stage1,-55
1.239,stage1,-55
1.24,stage1,-55
1.241,stage1,-55
1.242,stage1,-55
1.243,stage1,-55
1.244,stage1,-55
1.245,stage1,-55
1.246,stage1,-55
1.247,stage1,-55
1.248,stage1,-55
1.249,stage1,-55
1.25,stage1,-55
1.251,stage1,-55
1.252,stage1,-55
1.253,stage1,-55
1.254,stage1,-55
1.255,stage1,-55
1.256,stage1,-55
1.257,stage1,-55
1.258,stage1,-55
1.259,stage1,-55
1.26,stage1,-55
1.261,stage1,-55
1.262,stage1,-55
1.263,stage1,-55
1.264,stage1,-55
1.265,stage1,-55
1.266,stage1,-55
1.267,stage1,-55
