"time","x_m","v_mps","valve_cmd","spool_u","pA_Pa","pB_Pa"
2.9,0.10951712433521778,-3.591162519489278,1.0,0.0075608051270615595,10614878.272302842,6020644.682305232
2.91,0.10701153241879828,-2.5750261220034365,1.0,0.031915012544600885,21000000.0,100000.0
2.92,0.10685553079779336,-0.1371690997819064,1.0,0.05655436360219712,21000000.0,100000.0
2.93,0.10876828769365897,1.9094855519235976,-1.0,0.0322703195208066,19233791.68894458,811837.7521196629
2.94,0.11205535396992947,3.262016041727897,-1.0,0.007423496354694414,15288883.987254184,5649002.27412803
2.95,0.11556447392262993,3.544910874092762,-1.0,-0.018360279544007672,3927637.3084900696,20888691.206167936
2.96,0.11684121196782407,1.2922746341619127,-1.0,-0.04323358996844632,100000.0,21000000.0
2.97,0.11591260941096529,-0.9652537911278891,-0.10100842352889616,-0.04288180617181186,100000.0,20692819.427502256
2.98,0.11316707265754819,-2.7513080104246987,1.0,-0.018450458495803415,2626749.61714248,16474116.4520251
2.99,0.10952846972034262,-3.584293498573466,1.0,0.0070777479588215245,10500571.549307989,6165875.829480132
3.0,0.10698356779405567,-2.5449556746195663,1.0,0.03249462948128336,21000000.0,100000.0
3.01,0.10687878968838388,-0.1324723693424028,1.0,0.05680080224342415,21000000.0,100000.0
3.02,0.10874334121377686,1.888934843538328,-1.0,0.03165443957478972,19326630.701606672,726597.0201170035
3.03,0.11203932847521907,3.2637202224999156,-1.0,0.007359950830401134,15278032.649010018,5663227.567867336
3.04,0.11558152601092457,3.530660034645429,-1.0,-0.01771229097834843,4008010.6630918887,20718814.860532403
3.05,0.11685555403440295,1.2948453192591356,-1.0,-0.043389688624641994,100000.0,21000000.0
3.06,0.11587265719665232,-0.9739067976045623,-0.07434116296684756,-0.04251434657693543,100000.0,20694655.676436193
3.07,0.11316412521658048,-2.753789073468117,1.0,-0.0180182363064796,2615867.2277258704,16509057.714850131
3.08,0.10957889016018957,-3.579107095131179,1.0,0.006604893135636385,10361263.297919353,6341159.088266533
3.09,0.10697016656784522,-2.553932140272093,1.0,0.03219674312339105,21000000.0,100000.0
3.1,0.10688218984161016,-0.10794778623484058,1.0,0.05739954991303003,21000000.0,100000.0
3.11,0.1087615364096178,1.8869054183736491,-1.0,0.03172451639248337,19327134.901132632,722977.1009062723
3.12,0.11201161408305185,3.264028859630888,-1.0,0.006767637869368015,15353321.08768116,5606066.852504467
3.13,0.1155707426664197,3.5262709276929223,-1.0,-0.017591508351901507,4004513.6222827137,20705091.68040347
3.14,0.11688371326297778,1.3045685003429415,-1.0,-0.042846918251038875,100000.0,21000000.0
3.15,0.11587761390773474,-0.9742178872355627,-0.07944417058690734,-0.042969721272922125,100000.0,20652713.93517427
