time,stage_id,valve,level,leak
5.88,stage1,False,1.0,False
5.89,stage1,False,1.0,False
5.9,stage1,False,1.0,False
5.91,stage1,False,1.0,False
5.92,stage1,False,1.0,False
5.93,stage1,False,1.0,False
5.94,stage1,False,1.0,False
5.95,stage1,False,1.0,False
5.96,stage1,False,1.0,False
5.97,stage1,False,1.0,False
5.98,stage1,False,1.0,False
5.99,stage1,False,1.0,False
6.0,stage1,False,1.0,False
6.01,stage1,False,1.0,False
6.02,stage1,False,1.0,False
6.03,stage1,False,1.0,False
6.04,stage1,False,1.0,False
6.05,stage1,False,1.0,False
6.06,stage1,False,1.0,False
6.07,stage1,False,1.0,False
6.08,stage1,False,1.0,False
6.09,stage1,False,1.0,False
6.1,stage1,False,1.0,False
6.11,stage1,False,1.0,False
6.12,stage1,False,1.0,False
6.13,stage1,False,1.0,False
6.14,stage1,False,1.0,False
6.15,stage1,False,1.0,False
6.16,stage1,False,1.0,False
6.17,stage1,False,1.0,False
6.18,stage1,False,1.0,False
6.19,stage1,False,1.0,False
6.2,stage1,False,1.0,False
6.21,stage1,False,1.0,False
6.22,stage1,False,1.0,False
6.23,stage1,False,1.0,False
6.24,stage1,False,1.0,False
6.25,stage1,False,1.0,False
6.26,stage1,False,1.0,False
6.27,stage1,False,1.0,False
6.28,stage1,False,1.0,False
6.29,stage1,False,1.0,False
6.3,stage1,False,1.0,False
6.31,stage1,False,1.0,False
6.32,stage1,False,1.0,False
6.33,stage1,False,1.0,False
6.34,stage1,False,1.0,False
6.35,stage1,False,1.0,False
6.36,stage1,False,1.0,False
6.37,stage1,False,1.0,False
6.38,stage1,False,1.0,False
6.39,stage1,False,1.0,False
6.4,stage1,False,1.0,False
6.41,stage1,False,1.0,False
6.42,stage1,False,1.0,False
6.43,stage1,False,1.0,False
6.44,stage1,False,1.0,False
6.45,stage1,False,1.0,False
6.46,stage1,False,1.0,False
6.47,stage1,False,1.0,False
6.48,stage1,False,1.0,False
6.49,stage1,False,1.0,False
6.5,stage1,False,1.0,False
6.51,stage1,False,1.0,False
6.52,stage1,False,1.0,False
6.53,stage1,False,1.0,False
6.54,stage1,False,1.0,False
6.55,stage1,False,1.0,False
6.56,stage1,False,1.0,False
6.57,stage1,False,1.0,False
6.58,stage1,False,1.0,False
6.59,stage1,False,1.0,False
6.6,stage1,False,1.0,False
6.61,stage1,False,1.0,False
6.62,stage1,False,1.0,False
6.63,stage1,False,1.0,False
